Male,Female,18-34,35-49,50-64,65+,Gen Z,Millennials,Gen X,Baby Boomers,Silent,White,Black or African American,Hispanic,Asian,Other,Northeast,Midwest,South,West,Suburban,Urban,Rural,< HS degree,HS degree to < 4-year,4-year +,< $75K,$75K +,Republican,Democrat,Independent,Other,Strong liberal,Lean liberal,Moderate,Lean conservative,Strong conservative,APPROVE,Strongly Approve,Somewhat Approve,Somewhat Disapprove,Strongly Disapprove,DISAPPROVE,Strong Support,Strong Opposition,Disengaged,Discouraged,Conflicted Support,Conflicted Opposition,Soft support,Soft opposition,White Democrats,Black Democrats,Hispanic Democrats,White Independents,Black Independents,Hispanic Independents,White Republicans,Non-white Republicans,Suburban Men,Suburban Women,Men with a college degree,Women with a college degree,,
Joe Biden,326,144,182,44,81,109,92,8,56,75,175,12,183,101,29,10,3,76,58,135,57,172,75,79,13,203,111,184,131,-,290,36,-,65,102,135,12,13,28,7,22,47,251,298,7,208,27,43,7,2,10,23,159,93,28,25,8,1,-,-,71,101,57,53
Bernie Sanders,221,101,119,102,61,35,23,36,88,52,40,5,115,32,54,17,2,46,51,67,56,106,80,34,15,147,59,132,86,-,169,52,-,52,70,81,12,5,44,14,31,37,139,176,4,92,29,46,19,8,11,11,85,25,43,30,7,12,-,-,43,64,31,28
Elizabeth Warren,145,72,73,36,25,45,40,8,39,27,58,12,104,11,23,2,4,17,27,44,57,72,49,24,8,85,52,64,78,-,124,21,-,40,41,49,7,8,11,1,10,20,113,133,1,100,15,12,3,2,2,9,89,7,20,15,4,2,-,-,37,35,32,20
Kamala Harris,107,49,58,28,27,36,15,8,31,27,41,1,54,28,17,8,0,18,23,40,26,56,34,17,2,66,38,48,56,-,99,9,-,28,44,32,2,1,12,5,7,11,84,95,3,75,6,9,7,0,1,5,47,28,16,8,0,1,-,-,20,36,20,18
Pete Buttigieg,38,12,26,10,7,13,8,3,9,7,15,3,31,3,2,1,0,5,10,14,9,23,9,6,0,18,20,15,22,-,31,7,-,16,12,10,0,0,4,2,1,3,31,34,2,29,1,2,0,0,2,2,26,2,2,6,1,0,-,-,7,16,9,11
Beto O'Rourke,47,21,26,23,10,10,5,9,20,10,7,1,16,12,16,3,1,10,6,24,7,23,20,5,2,28,17,26,22,-,33,14,-,4,20,22,1,0,10,3,7,9,28,37,0,21,8,8,8,0,0,3,12,6,12,4,6,3,-,-,7,15,8,9
Cory Booker,41,20,21,5,13,17,5,0,6,19,13,2,27,8,5,0,0,5,10,18,8,16,17,8,7,19,14,24,16,-,36,5,-,15,6,14,4,2,7,5,2,7,27,34,1,22,6,4,4,0,2,1,22,8,5,5,0,0,-,-,10,6,12,2
Julian Castro,20,5,15,10,5,2,3,2,10,3,2,3,4,1,15,0,0,2,2,15,1,13,4,2,3,11,6,15,5,-,14,6,-,4,4,12,0,0,0,0,0,2,17,20,0,12,0,6,0,0,0,2,3,1,10,1,0,5,-,-,3,10,3,3
Amy Klobuchar,15,9,6,4,5,3,3,3,3,4,4,0,11,3,1,0,0,1,5,8,1,3,10,2,0,5,10,8,7,-,13,2,-,1,7,4,2,1,3,1,2,4,8,12,0,7,1,1,3,0,0,3,9,3,1,2,0,0,-,-,2,1,7,3
Kirsten Gillibrand,10,8,2,4,4,2,0,1,4,5,1,0,7,2,2,0,0,1,0,4,5,2,7,1,0,5,5,4,7,-,9,1,-,1,0,5,3,1,3,2,1,1,6,7,0,4,0,1,3,1,0,1,7,1,2,0,1,0,-,-,2,0,3,2
John Delaney,6,3,2,0,2,2,2,0,0,2,3,0,5,0,1,0,0,0,4,2,0,2,1,3,0,3,3,4,2,-,4,1,-,0,1,5,0,0,5,2,3,1,0,1,2,0,2,0,0,0,1,1,3,0,1,1,0,0,-,-,2,0,2,1
Tulsi Gabbard,9,7,1,1,4,3,1,1,2,4,1,1,5,1,3,0,0,1,1,6,1,7,1,1,0,5,4,7,2,-,6,3,-,0,2,4,2,1,3,2,1,0,6,6,1,3,0,1,1,1,0,0,5,0,2,0,1,1,-,-,7,0,3,1
John Hickenlooper,12,4,8,7,4,1,0,0,9,3,0,0,7,2,3,0,0,5,1,3,3,4,6,2,0,2,10,3,9,-,9,3,-,1,6,4,0,1,6,3,3,1,6,6,1,5,1,1,1,0,2,1,6,2,1,1,0,2,-,-,1,4,4,5
Jay Inslee,6,4,3,5,1,0,0,2,3,1,0,0,4,0,2,0,0,0,2,2,2,1,2,3,0,6,0,2,4,-,6,0,-,0,2,1,2,1,4,2,2,0,2,2,0,2,1,0,2,0,1,0,4,0,2,0,0,0,-,-,1,0,0,0
Marianne Williamson,11,7,4,6,3,2,0,0,7,4,0,0,8,1,2,0,0,1,0,3,7,4,3,4,1,5,5,5,7,-,9,2,-,5,0,3,0,3,9,8,1,0,2,2,2,2,0,0,7,0,0,0,6,1,2,2,0,0,-,-,0,4,3,2
Andrew Yang,18,11,7,12,5,0,1,7,6,4,1,0,5,2,6,6,0,0,2,5,10,5,12,1,3,9,6,13,2,-,16,2,-,7,3,7,1,0,3,2,1,3,12,15,2,6,3,5,1,0,1,0,4,2,5,1,0,1,-,-,4,1,5,1
Mike Gravel,9,9,0,7,1,0,0,2,6,0,0,0,6,2,1,0,0,3,0,4,2,0,7,1,4,1,4,5,4,-,7,1,-,4,0,5,0,0,6,4,1,2,1,3,0,1,1,0,3,2,1,0,4,2,1,1,0,0,-,-,0,0,4,0
Wayne Messam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0
Seth Moulton,6,3,3,4,2,0,0,0,6,0,0,0,0,4,2,0,0,1,0,3,3,4,3,0,0,4,2,5,2,-,6,1,-,0,2,5,0,0,3,0,3,2,2,4,0,1,3,1,0,0,0,2,0,3,2,0,1,0,-,-,2,2,2,0
Tim Ryan,14,7,7,8,4,0,1,2,6,4,1,0,12,1,2,0,0,0,6,5,4,5,6,3,3,4,7,4,10,-,14,0,-,4,0,6,2,2,8,5,3,2,4,6,0,1,2,2,6,2,1,0,12,1,2,0,0,0,-,-,3,2,5,2
Michael Bennett,7,5,2,5,2,0,0,1,4,2,0,0,3,2,0,1,0,2,0,4,1,3,4,0,0,3,4,3,4,-,7,0,-,2,2,1,0,2,5,5,0,1,1,2,3,0,0,1,2,0,0,1,3,2,0,0,0,0,-,-,1,2,4,0
Steve Bullock,3,1,2,1,2,0,0,0,3,0,0,0,2,0,0,1,0,0,0,2,1,1,2,0,0,0,3,1,2,-,3,0,-,0,0,3,0,0,2,0,2,1,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,-,-,1,0,1,2
Bill de Blasio,11,4,6,7,3,0,0,3,6,1,0,0,6,0,5,0,0,4,0,2,4,5,5,0,3,4,4,3,8,-,7,4,-,2,1,3,2,3,3,3,0,4,4,8,1,2,3,1,2,0,0,1,4,0,3,1,0,2,-,-,4,1,2,2
Joe Sestak,4,4,0,3,1,0,0,1,2,1,0,0,2,0,3,0,0,0,0,0,4,0,3,1,0,3,2,3,2,-,4,0,-,3,0,1,0,0,3,3,0,0,1,1,0,1,0,0,2,0,1,0,2,0,3,0,0,0,-,-,0,0,2,0
