Male,Female,18-34,35-49,50-64,65+,Gen Z,Millennials,Gen X,Baby Boomers,Silent,White,Black or African American,Hispanic,Asian,Other,Northeast,Midwest,South,West,Suburban,Urban,Rural,< HS degree,HS degree to < 4-year,4-year +,< $75K,$75K +,Republican,Democrat,Independent,Other,Strong liberal,Lean liberal,Moderate,Lean conservative,Strong conservative,APPROVE,Strongly Approve,Somewhat Approve,Somewhat Disapprove,Strongly Disapprove,DISAPPROVE,Strong Support,Strong Opposition,Disengaged,Discouraged,Conflicted Support,Conflicted Opposition,Soft support,Soft opposition,White Democrats,Black Democrats,Hispanic Democrats,White Independents,Black Independents,Hispanic Independents,White Republicans,Non-white Republicans,Suburban Men,Suburban Women,Men with a college degree,Women with a college degree,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Never heard of it,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Never heard of it,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Never heard of it,,
Joe Biden,363,159,204,61,82,119,101,11,67,82,182,20,210,103,37,12,2,85,63,136,79,184,111,69,21,226,116,218,134,-,313,49,-,72,108,152,14,16,40,16,23,56,267,323,11,227,35,39,8,5,11,27,173,92,35,37,11,2,-,-,72,111,49,68,34,115,123,79,12,62,146,87,56,12,73,172,49,24,45
Bernie Sanders,212,88,124,106,49,40,16,35,87,44,43,3,96,37,60,17,1,36,53,61,62,100,84,28,20,140,52,142,68,-,171,41,-,54,69,64,15,10,36,13,24,29,146,175,3,93,30,49,16,6,8,7,70,34,53,26,4,7,-,-,35,65,22,30,11,19,3,4,3,1,12,11,15,2,20,8,6,2,5
Elizabeth Warren,143,59,84,26,34,39,44,6,30,32,62,13,99,12,26,2,3,24,23,45,52,73,49,22,4,79,61,54,87,-,122,21,-,42,40,42,10,9,18,6,12,12,113,125,2,101,14,10,8,3,0,4,80,12,24,19,0,2,-,-,37,36,29,32,5,17,6,5,0,5,12,13,3,0,6,14,7,5,1
Kamala Harris,95,43,52,24,30,28,14,8,24,27,32,4,52,18,17,9,0,13,20,37,26,49,29,17,2,56,37,42,53,-,85,10,-,23,41,27,1,3,9,1,7,13,73,87,1,71,9,3,5,1,1,4,44,18,14,8,0,2,-,-,20,29,25,11,4,9,8,0,0,6,3,9,1,2,7,8,2,1,3
Pete Buttigieg,33,11,22,6,8,12,7,4,4,8,16,2,28,3,3,0,0,4,9,19,2,16,9,8,0,16,18,11,20,-,22,11,-,14,7,8,2,2,6,5,1,2,25,27,2,24,2,1,3,0,1,1,20,2,1,8,1,2,-,-,7,10,9,8,0,2,1,2,0,2,1,1,0,0,2,1,1,1,0
Beto O'Rourke,47,20,27,30,3,8,5,9,23,5,8,1,17,8,18,3,0,9,7,25,6,21,19,6,2,27,17,29,18,-,33,14,-,6,14,26,1,0,9,3,6,7,30,38,0,21,6,9,7,0,0,3,13,3,15,5,6,3,-,-,6,15,9,8,1,1,3,1,1,3,0,1,2,1,1,1,2,2,1
Cory Booker,41,19,21,6,16,14,5,0,6,19,13,2,26,8,7,0,0,6,8,20,7,13,20,7,7,20,14,23,15,-,36,4,-,16,4,15,3,2,7,3,5,6,27,33,1,22,7,6,3,0,1,2,21,8,7,4,0,0,-,-,8,5,12,2,6,6,0,0,0,7,4,1,0,0,8,1,0,0,2
Julian Castro,21,6,15,9,8,0,4,4,7,6,1,3,7,0,13,0,0,3,3,13,3,12,4,5,3,8,10,12,9,-,13,7,-,2,3,13,2,0,3,3,0,0,17,18,0,11,0,6,3,0,0,0,5,0,9,3,0,5,-,-,2,10,6,4,6,42,32,12,2,11,43,20,19,2,24,52,10,0,8
Amy Klobuchar,16,10,6,6,3,3,3,3,5,3,5,0,11,3,2,0,0,1,6,9,0,3,11,2,0,7,9,10,6,-,14,2,-,2,7,5,1,1,3,2,2,3,9,12,0,7,0,2,3,0,0,3,9,3,2,2,0,0,-,-,1,1,7,1,5,7,1,0,0,6,5,3,0,1,3,6,2,2,1
Kirsten Gillibrand,11,9,2,8,2,1,0,1,7,3,0,0,8,2,1,0,0,2,2,3,5,2,8,1,0,7,4,4,8,-,11,0,-,4,0,3,4,1,6,6,0,2,4,5,0,2,0,1,6,0,0,2,8,2,1,0,0,0,-,-,2,0,2,2,2,3,1,2,0,3,5,1,0,0,6,3,0,0,0
